policy;seed;type;instance;nnodes;nlps;stime;gap;status;ndomchgs;ncutoffs;walltime;proctime;objval;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_109.lp;223;414;19.88;0.0;optimal;116;0;20.190942818298936;20.190793451999525;174.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_110.lp;533;845;27.1;0.0;optimal;233;0;27.478602841496468;27.477735866999865;192.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_111.lp;149;357;19.46;0.0;optimal;147;0;19.710659466683865;19.710364977999234;195.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_112.lp;5012;6039;92.44;0.0;optimal;616;0;94.18280548788607;94.18075860000044;222.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_113.lp;2524;3127;58.62;0.0;optimal;354;0;59.660154581069946;59.61916063700028;218.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_114.lp;3713;5049;87.0;0.0;optimal;428;0;88.46001085080206;88.45861491999949;235.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_115.lp;309;539;19.88;0.0;optimal;156;1;20.21431233547628;20.214164795000215;157.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_116.lp;1882;2394;56.05;0.0;optimal;277;0;56.98726645670831;56.986569974000304;214.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_117.lp;15;119;9.97;0.0;optimal;35;1;10.111338092014194;10.108538147000218;190.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_118.lp;1026;1334;37.11;0.0;optimal;242;0;37.66882678307593;37.66858295899965;220.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_119.lp;2361;3064;63.31;0.0;optimal;354;0;64.27596557885408;64.27579975300068;224.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_120.lp;285;521;25.2;0.0;optimal;159;0;25.53877846337855;25.527150613999765;209.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_121.lp;731;1094;37.65;0.0;optimal;250;0;38.20392481982708;38.20369003799988;220.0;
