policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,objval
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_82.lp,1,5,0.08,0.0,optimal,0,0,0.08055100031197071,0.08055333299999923,32.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_83.lp,1,45,0.42,0.0,optimal,0,1,0.4328748118132353,0.43287726400000004,30.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_84.lp,1,22,0.22,0.0,optimal,0,0,0.23512139357626438,0.23511652300000208,27.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_85.lp,3,48,0.48,0.0,optimal,1,1,0.4835358988493681,0.4835273569999998,24.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_86.lp,1,43,0.41,0.0,optimal,2,0,0.4218485653400421,0.421845342000001,22.000000000000007
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_87.lp,1,2,0.05,0.0,optimal,0,0,0.043580103665590286,0.04358060000000208,17.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_88.lp,1,2,0.07,0.0,optimal,0,0,0.07808534242212772,0.07808877499999767,32.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_89.lp,1,1,0.03,0.0,optimal,0,0,0.030868511646986008,0.030871118000000308,16.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_90.lp,1,2,0.05,0.0,optimal,0,0,0.057778095826506615,0.05778049999999979,14.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_91.lp,1,39,0.33,0.0,optimal,0,0,0.3444785885512829,0.3444614669999986,28.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_92.lp,1,6,0.09,0.0,optimal,0,0,0.08826021291315556,0.0882632949999973,24.999999999999993
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_93.lp,1,13,0.19,0.0,optimal,0,0,0.19178293831646442,0.19178658399999904,28.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_94.lp,1,1,0.01,0.0,optimal,0,0,0.014537470415234566,0.014539060000000603,18.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_95.lp,1,2,0.03,0.0,optimal,0,0,0.03596822917461395,0.03597072199999829,34.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_96.lp,1,38,0.36,0.0,optimal,0,1,0.3717188350856304,0.3716818499999981,26.000000000000014
